1  de Mayo
12 de Octubre
16 de Julio
17 de Octubre
"2 de Abril ""A"""
"2 de Abril ""B"""
"2 de Abril ""C"""
"2 de Abril ""D"""
"2 de Abril ""E"""
"2 de Abril ""F"""
20 de Julio
25 De Mayo
6 de Enero
7 de Mayo
7 de Noviembre
8 de Marzo
8 de Marzo I
8 de Octubre
Antenor Gauna
Colluccio
Cono Sur
Covifol
Divino Niño
Don Bosco
El Hornero
El Mirador
El Palomar
El Porvenir
El Quebranto/Maroma
El Resguardo
Emilio Tomas
Eva Peron
Evita
Facundo Quiroga
Federacion
Fleming
Fontana
Guadalupe
Hipolito Irigoyen
Illia I
Illia II
Incone
Independencia
Jardines de Formosa
Juan D.Peron
Juan Manuel de Rosas
La Alborada
La Floresta
"La Paz ""A"""
"La Paz ""B"""
"La Paz ""C"""
"La Paz ""D"""
Laguna Sian
Las Delicias
Las Orquideas
Libertad
Liborsi
Los Inmigrantes
Lote 110
Lote 111
Lote 221/222
Lote 4
Lujan
Malvinas
Maradona Dr. Laureano
Mariano Moreno
Militar
Monte Agudo
Municipal
Nanquom
Nueva Formosa
Obrero
Palmar
Parque Urbano I
Parque Urbano II
Paulina/Perlas
Procrear
Quebrachito
Republica Argentina
Ricardo Balbin
Sagrado Corazon
San Agustin
San Andres I
San Andres II
San Antonio
San Antonio II
San Francisco
San Isidro
San Isidro Labrador
San Jorge
San Jose Obrero
San Juan
San Juan Bautista
San Martin
San Miguel
San Pedro
Santa Isabel
Santa Rosa
Sarmiento
Simon Bolivar
Stella Maris
Urbanazicion España
Urbanizacion Lisbel Rivira
Urunday
Venezuela
Vial
Villa Hermosa
Villa la Pilar
Virgen de Itati
Virgen de Itati II
Virgen de Lourdes
Virgen del Carmen
Virgen del Rosario
